Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
28,No,Travel_Rarely,Research & Development,3,3,Medical,1121,Female,Manufacturing Director,Medium,Divorced,7655,0,17,3,10,Good,9,7,1,7
37,Yes,Travel_Rarely,Research & Development,11,2,Medical,1033,Female,Healthcare Representative,Medium,Married,4777,5,15,3,15,Bad,1,0,0,0
38,No,Travel_Rarely,Sales,2,2,Marketing,1125,Male,Sales Executive,Medium,Single,7351,7,16,3,10,Better,1,0,0,0
55,Yes,Travel_Rarely,Research & Development,2,3,Medical,787,Male,Manager,Low,Married,19859,5,13,3,24,Better,5,2,1,4
31,No,Travel_Rarely,Sales,5,4,Life Sciences,1673,Female,Sales Executive,Very High,Married,5476,1,11,3,10,Better,10,0,0,2
38,Yes,Travel_Rarely,Research & Development,2,3,Medical,1573,Male,Manufacturing Director,Medium,Married,4855,4,11,3,7,Better,5,2,1,4
29,No,Non-Travel,Sales,2,3,Life Sciences,469,Male,Sales Executive,High,Married,4649,1,14,3,4,Good,4,3,0,2
34,No,Non-Travel,Sales,10,3,Life Sciences,1774,Male,Sales Executive,High,Divorced,4001,1,14,3,15,Better,15,14,0,7
30,No,Travel_Rarely,Research & Development,16,3,Life Sciences,1763,Male,Healthcare Representative,High,Married,5294,3,16,3,10,Better,7,0,1,7
27,No,Travel_Rarely,Research & Development,19,3,Other,1619,Male,Laboratory Technician,Low,Divorced,4066,1,11,3,7,Better,7,7,0,7
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,514,Male,Research Scientist,Very High,Single,2285,9,23,4,3,Better,1,0,0,0
28,No,Travel_Rarely,Research & Development,19,4,Medical,1216,Male,Laboratory Technician,Low,Married,3196,1,12,3,6,Better,6,5,3,3
35,No,Travel_Rarely,Research & Development,25,2,Other,652,Male,Laboratory Technician,Very High,Single,3681,4,14,3,9,Better,3,2,0,2
28,No,Travel_Rarely,Research & Development,1,3,Technical Degree,1301,Male,Research Scientist,Low,Single,2080,2,11,3,5,Good,3,2,1,2
33,No,Travel_Rarely,Research & Development,8,5,Life Sciences,1515,Male,Healthcare Representative,High,Single,6388,2,17,3,14,Better,0,0,0,0
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,Laboratory Technician,High,Single,2090,6,15,3,7,Better,0,0,0,0
31,Yes,Travel_Rarely,Human Resources,18,5,Human Resources,1842,Male,Human Resources,Low,Married,2956,0,17,3,2,Better,1,0,0,0
47,No,Travel_Rarely,Research & Development,2,2,Other,820,Female,Manager,Very High,Married,16752,1,11,3,26,Good,26,14,3,0
34,No,Travel_Rarely,Sales,10,4,Life Sciences,1055,Female,Sales Representative,High,Married,2220,1,19,3,1,Better,1,1,0,0
44,No,Travel_Rarely,Research & Development,20,3,Life Sciences,1475,Male,Research Scientist,Medium,Single,3420,1,13,3,6,Good,5,2,1,3
40,Yes,Non-Travel,Sales,24,3,Life Sciences,986,Female,Sales Executive,Medium,Single,13194,4,16,3,22,Good,1,0,0,0
44,No,Travel_Rarely,Research & Development,1,3,Medical,2020,Male,Research Scientist,Very High,Single,2436,6,12,3,6,Better,4,3,1,2
39,No,Travel_Rarely,Research & Development,10,1,Medical,429,Male,Manager,Low,Married,17068,1,14,3,21,Better,21,9,11,10
40,No,Non-Travel,Research & Development,9,4,Other,1449,Male,Laboratory Technician,High,Divorced,3975,3,11,3,11,Best,8,7,0,7
33,Yes,Travel_Rarely,Sales,9,4,Marketing,1157,Female,Sales Executive,Low,Single,8224,0,17,3,6,Better,5,2,0,3
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,381,Female,Manager,Medium,Divorced,11996,7,18,3,10,Good,7,7,6,2
21,Yes,Travel_Frequently,Research & Development,10,2,Life Sciences,1279,Female,Laboratory Technician,High,Single,2625,1,20,4,2,Bad,2,2,2,2
40,No,Travel_Rarely,Research & Development,20,4,Technical Degree,1092,Male,Healthcare Representative,Very High,Married,10322,4,20,4,14,Better,11,10,11,1
20,Yes,Travel_Frequently,Sales,9,3,Marketing,1077,Female,Sales Representative,Very High,Single,2323,1,14,3,2,Better,2,2,0,2
